,0
0,USD735659-0
1,US11246313-0
2,US4287049-0
3,US5136335-0
4,US9533861-0
5,US5403996-0
6,US10078546-0
7,US10242944-0
8,US9486970-0
9,US4151253-0
10,US6022621-0
11,USD497097-0
12,US7062963-0
13,US4823392-0
14,US10933850-0
15,US5361182-0
16,US4466609-0
17,US6993529-0
18,US8740253-0
19,US7533396-0
20,US10916563-0
21,US6404606-0
22,US6291971-0
23,US9809529-0
24,US4721292-0
25,US4282836-0
26,US8324780-0
27,US8631101-0
28,US5763488-0
29,US11066157-0
30,US11255835-0
31,US5222018-0
32,US7935327-0
33,US5743555-0
34,US7148738-0
35,US7490064-0
36,US8478514-0
37,US5180904-0
38,US8603206-0
39,US9994582-0
40,US11233460-0
41,US5262539-0
42,US10386667-0
43,US11420200-0
44,US11192624-0
45,US5073311-0
46,US7628781-0
47,US11501820-0
48,US11068611-0
49,US4222384-0
50,US7931849-0
51,US8485195-0
52,US6542370-0
53,US9094186-0
54,US8052988-0
55,US6591669-0
56,US4700254-0
57,US10925048-0
58,US4108647-0
59,US8421993-0
60,US8717133-1
61,US9646792-0
62,US5948680-0
63,US11334711-0
64,US5499912-0
65,US3973853-0
66,US7145028-0
67,US6077163-0
68,US6591160-0
69,USD378090-0
70,US9105036-0
71,US6571220-0
72,US9780299-0
73,USD792019-0
74,USD884932-0
75,US11374751-0
76,US4049359-0
77,US11402604-0
78,US10725650-0
79,US8983338-1
80,USD384176-0
81,US8408701-0
82,US4939757-0
83,US6912908-0
84,US9135197-0
85,USD533595-0
86,US4851531-0
87,US7955634-0
88,US7181103-0
89,US3955259-0
90,US9706098-0
91,US4862952-0
92,USD801742-0
93,US7432052-0
94,US8977878-0
95,US11422227-0
96,US6817191-0
97,US8673863-0
98,US10422716-0
99,US7928455-0
